id,bag_id,grinder_cal_id,basket_id,grind_setting,weight_in_basket,depth_below_rim
466,80,4,2,0.5,18.1,15.14
467,80,4,2,1.0,18.74,14.27
468,80,4,2,2.0,18.71,13.34
469,80,4,2,3.0,18.88,12.57
470,80,4,2,6.0,18.73,11.1
471,80,4,2,9.0,18.83,9.59
472,80,4,2,12.0,19.29,8.5
473,79,4,2,2.5,17.8,14.38
474,80,4,2,12.0,19.34,8.56
475,80,4,2,9.0,18.79,9.31
476,80,4,2,6.0,18.26,10.94
477,80,4,2,3.0,18.0,13.09
478,81,4,2,12.0,19.51,8.44
479,81,4,2,9.0,18.71,9.64
480,81,4,2,6.0,18.09,11.35
481,81,4,2,3.0,18.0,13.11
482,81,4,2,2.5,18.0,13.51
483,81,4,2,2.0,18.0,13.8
484,81,4,2,1.5,18.0,14.22
485,81,4,2,1.0,18.13,14.55
486,81,4,2,0.5,18.26,14.94
487,78,4,2,1.2,18.0,15.76
488,79,4,2,1.3,18.0,15.05
489,79,4,2,2.5,18.0,14.58
490,79,4,2,1.3,18.0,15.09
492,82,4,2,1.0,18.0,16.14
493,82,4,2,1.0,18.0,16.15
494,82,4,2,1.0,18.0,15.91
495,82,4,2,1.5,18.0,16.02
496,82,4,2,1.5,18.0,15.81
497,82,4,2,2.0,18.0,15.66
498,82,4,2,2.0,18.0,15.67
499,82,4,2,2.5,18.0,15.44
500,82,4,2,2.5,18.0,15.45
501,82,4,2,3.0,18.0,15.53
502,82,4,2,3.0,18.0,15.25
503,82,4,2,6.0,18.65,14.03
504,82,4,2,9.0,19.01,13.68
505,82,4,2,12.0,19.24,13.16
506,82,4,2,4.0,18.0,15.01
507,83,4,2,2.0,18.0,15.21
508,83,4,2,1.0,18.0,15.88
509,83,4,2,1.0,18.0,15.83
510,83,4,2,1.5,18.0,15.68
511,83,4,2,1.5,18.0,15.53
512,83,4,2,2.0,18.0,15.43
513,83,4,2,12.0,19.57,12.6
514,83,4,2,3.0,18.0,14.84
515,83,4,2,3.0,18.0,14.69
516,83,4,2,1.0,18.0,15.79
517,85,4,2,1.0,18.0,16.1
518,85,4,2,0.8,18.0,16.2
519,84,4,2,1.0,18.0,15.75
520,84,4,2,1.0,18.0,15.8
525,84,4,2,2.0,18.0,15.27
526,84,4,2,2.0,18.0,15.3
527,85,4,2,12.0,19.67,13.55
528,85,4,2,2.0,17.97,15.76
529,84,4,2,3.0,18.0,14.65
530,85,4,2,3.0,17.99,15.24
531,84,4,2,12.0,19.41,12.14
533,85,4,2,3.0,18.0,15.31
534,85,4,2,2.0,18.0,15.64
535,84,4,2,1.3,18.0,15.56
546,85,4,2,1.0,16.05,16.95
551,87,4,2,1.0,18.0,16.15
552,87,4,2,1.0,18.0,16.06
553,87,4,2,2.0,18.0,15.66
554,87,4,2,2.0,18.0,15.57
555,87,4,2,3.0,18.0,15.18
556,87,4,2,3.0,18.0,15.02
557,87,4,2,4.0,18.0,14.71
558,87,4,2,4.0,18.0,14.71
559,87,4,2,12.0,19.5,12.56
560,87,4,2,1.5,18.0,15.77
561,87,4,2,1.5,18.0,15.73
564,88,4,2,2.0,18.0,14.9
565,88,4,2,2.0,18.0,14.97
566,88,4,2,12.0,19.7,11.76
567,88,4,2,1.0,18.0,15.72
568,88,4,2,1.0,18.0,15.71
819,117,4,2,2.0,17.98,15.07
820,117,4,2,2.0,18.0,15.04
823,117,4,2,2.0,18.01,14.92
824,117,4,2,2.0,18.01,14.92
825,117,4,2,2.0,17.98,15.04
826,117,4,2,2.0,17.98,15.07
838,119,4,2,2.0,17.99,15.21
839,119,4,2,2.0,17.98,15.17
840,119,4,2,2.0,17.99,15.0
841,119,4,2,2.0,17.99,14.94
844,118,4,2,2.0,18.01,15.74
845,118,4,2,2.0,17.98,15.81
846,118,4,2,3.0,18.01,15.27
847,118,4,2,3.0,18.0,15.16
848,118,4,2,1.5,18.01,15.9
849,118,4,2,1.5,17.98,15.86
854,118,4,2,1.0,18.03,16.11
855,118,4,2,1.0,18.02,16.14
856,118,4,2,12.0,17.98,14.05
857,120,4,2,2.0,17.99,15.55
858,120,4,2,2.0,18.03,15.59
859,120,4,2,12.0,18.0,13.87
860,120,4,2,3.0,17.98,15.32
861,120,4,2,3.0,17.98,15.13
862,120,4,2,1.5,17.99,15.73
863,120,4,2,1.5,17.97,15.91
869,120,4,2,1.0,18.0,16.01
870,121,4,2,2.0,18.0,15.54
871,121,4,2,2.0,18.0,15.38
